+--------+------------------------------------------------------------------------------------------------------+---------------------+---------------------+
| codigo | localidade                                                                                           | created_at          | updated_at          |
+--------+------------------------------------------------------------------------------------------------------+---------------------+---------------------+
|    205 | 1. Centro Judiciario de Solução de Conflitos                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    178 | 1. Juizado Especial Civel e das Relações de Consumo                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     92 | 1. Juizado Especial Criminal                                                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      3 | 1. Secretaria Civel                                                                                  | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      4 | 1. Secretaria Criminal                                                                               | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      6 | 1. Secretaria da Família                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      7 | 1. Secretaria da Fazenda Pública                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    140 | 1. Secretaria da Infância e Juventude                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      5 | 1. Secretaria de Entorpecentes                                                                       | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     94 | 1. Secretaria do Júri                                                                                | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      8 | 1. Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    257 | 1. Vara Cível de São José de Ribamar                                                                 | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      9 | 1. Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    260 | 1. Vara Criminal de São José de Ribamar                                                              | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     10 | 1. Vara da Família                                                                                   | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     11 | 1. Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    139 | 1. Vara da Infância e Juventude                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      2 | 1. Vara de Entorpecentes                                                                             | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     76 | 1. Vara de Execuções Penais                                                                          | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    263 | 1. Vara de Paço do Lumiar                                                                            | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|     90 | 1. Vara do Júri                                                                                      | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    142 | 1.Vara Especial Violência Doméstica e Familiar contra Mulher                                         | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|      1 | 10 Vara Criminal                                                                                     | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    219 | 10 Vara Cível                                                                                        | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
|    254 | 10 Vara da Fazenda Pública                                                                           | 2024-11-06 10:32:19 | 2024-11-06 10:32:19 |
